UF_nome,UF,Regiao,TRE-URL
Acre,AC,Norte,https://www.tre-ac.jus.br/
Alagoas,AL,Nordeste,https://www.tre-al.jus.br/
Amapá,AP,Norte,https://www.tre-ap.jus.br/
Amazonas,AM,Norte,https://www.tre-am.jus.br/
Bahia,BA,Nordeste,https://www.tre-ba.jus.br/
Ceará,CE,Nordeste,https://www.tre-ce.jus.br/
Distrito Federal,DF,Centro-Oeste,https://www.tre-df.jus.br/
Espírito Santo,ES,Sudeste,https://www.tre-es.jus.br/
Goiás,GO,Centro-Oeste,https://www.tre-go.jus.br/
Maranhão,MA,Nordeste,https://www.tre-ma.jus.br/
Mato Grosso,MT,Centro-Oeste,https://www.tre-mt.jus.br/
Mato Grosso do Sul,MS,Centro-Oeste,https://www.tre-ms.jus.br/
Minas Gerais,MG,Sudeste,https://www.tre-mg.jus.br/
Pará,PA,Norte,https://www.tre-pa.jus.br/
Paraíba,PB,Nordeste,https://www.tre-pb.jus.br/
Paraná,PR,Sul,https://www.tre-pr.jus.br/
Pernambuco,PE,Nordeste,https://www.tre-pe.jus.br/
Piauí,PI,Nordeste,https://www.tre-pi.jus.br/
Rio de Janeiro,RJ,Sudeste,https://www.tre-rj.jus.br/
Rio Grande do Norte,RN,Nordeste,https://www.tre-rn.jus.br/
Rio Grande do Sul,RS,Sul,https://www.tre-rs.jus.br/
Rondônia,RO,Norte,https://www.tre-ro.jus.br/
Roraima,RR,Norte,https://www.tre-rr.jus.br/
Santa Catarina,SC,Sul,https://www.tre-sc.jus.br/
São Paulo,SP,Sudeste,https://www.tre-sp.jus.br/
Sergipe,SE,Nordeste,https://www.tre-se.jus.br/
Tocantins,TO,Norte,https://www.tre-to.jus.br/